----------------------------------------
Begin PBS Prologue Wed Jan 11 13:25:49 EST 2017 1484159149
Job ID:		75974687.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r14-n19
End PBS Prologue Wed Jan 11 13:25:49 EST 2017 1484159149
----------------------------------------
Unsteady: 100000 1 0 0 vanleer 0.2 0.2 1
Euler1d: Using Van Leer numerical flux.
Euler1d: No slope reconstruction to be used.
MUSCLReconstruction: Using Van Albada limiter
Euler1d: Using MUSCL face reconstruction.
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 0 - Time = 0
Euler1dExplicit: run(): Step 10 - Time = 1.48922e-05
Euler1dExplicit: run(): Step 20 - Time = 2.86333e-05
Euler1dExplicit: run(): Step 30 - Time = 4.19455e-05
Euler1dExplicit: run(): Step 40 - Time = 5.50908e-05
Euler1dExplicit: run(): Step 50 - Time = 6.81936e-05
Euler1dExplicit: run(): Step 60 - Time = 8.12931e-05
Euler1dExplicit: run(): Step 70 - Time = 9.43926e-05
Euler1dExplicit: run(): Step 80 - Time = 0.000107492
Euler1dExplicit: run(): Step 90 - Time = 0.000120592
Euler1dExplicit: run(): Step 100 - Time = 0.000133691
Euler1dExplicit: run(): Step 110 - Time = 0.000146791
Euler1dExplicit: run(): Step 120 - Time = 0.00015989
Euler1dExplicit: run(): Step 130 - Time = 0.00017299
Euler1dExplicit: run(): Step 140 - Time = 0.000186089
Euler1dExplicit: run(): Step 150 - Time = 0.000199189
Euler1dExplicit: run(): Step 160 - Time = 0.000212288
Euler1dExplicit: run(): Step 170 - Time = 0.000225388
Euler1dExplicit: run(): Step 180 - Time = 0.000238488
Euler1dExplicit: run(): Step 190 - Time = 0.000251587
Euler1dExplicit: run(): Step 200 - Time = 0.000264687
Euler1dExplicit: run(): Step 210 - Time = 0.000277786
Euler1dExplicit: run(): Step 220 - Time = 0.000290886
Euler1dExplicit: run(): Step 230 - Time = 0.000303985
Euler1dExplicit: run(): Step 240 - Time = 0.000317085
Euler1dExplicit: run(): Step 250 - Time = 0.000330184
Euler1dExplicit: run(): Step 260 - Time = 0.000343284
Euler1dExplicit: run(): Step 270 - Time = 0.000356383
Euler1dExplicit: run(): Step 280 - Time = 0.000369483
Euler1dExplicit: run(): Step 290 - Time = 0.000382582
Euler1dExplicit: run(): Step 300 - Time = 0.000395682
Euler1dExplicit: run(): Step 310 - Time = 0.000408781
Euler1dExplicit: run(): Step 320 - Time = 0.000421881
Euler1dExplicit: run(): Step 330 - Time = 0.000434981
Euler1dExplicit: run(): Step 340 - Time = 0.00044808
Euler1dExplicit: run(): Step 350 - Time = 0.00046118
Euler1dExplicit: run(): Step 360 - Time = 0.000474279
Euler1dExplicit: run(): Step 370 - Time = 0.000487379
Euler1dExplicit: run(): Step 380 - Time = 0.000500478
Euler1dExplicit: run(): Step 390 - Time = 0.000513578
Euler1dExplicit: run(): Step 400 - Time = 0.000526677
Euler1dExplicit: run(): Step 410 - Time = 0.000539777
Euler1dExplicit: run(): Step 420 - Time = 0.000552876
Euler1dExplicit: run(): Step 430 - Time = 0.000565976
Euler1dExplicit: run(): Step 440 - Time = 0.000579075
Euler1dExplicit: run(): Step 450 - Time = 0.000592175
Euler1dExplicit: run(): Step 460 - Time = 0.000605275
Euler1dExplicit: run(): Step 470 - Time = 0.000618374
Euler1dExplicit: run(): Step 480 - Time = 0.000631474
Euler1dExplicit: run(): Step 490 - Time = 0.000644573
Euler1dExplicit: run(): Step 500 - Time = 0.000657673
Euler1dExplicit: run(): Step 510 - Time = 0.000670772
Euler1dExplicit: run(): Step 520 - Time = 0.000683872
Euler1dExplicit: run(): Step 530 - Time = 0.000696971
Euler1dExplicit: run(): Step 540 - Time = 0.000710071
Euler1dExplicit: run(): Step 550 - Time = 0.00072317
Euler1dExplicit: run(): Step 560 - Time = 0.00073627
Euler1dExplicit: run(): Step 570 - Time = 0.000749369
Euler1dExplicit: run(): Step 580 - Time = 0.000762469
Euler1dExplicit: run(): Step 590 - Time = 0.000775569
Euler1dExplicit: run(): Step 600 - Time = 0.000788668
Euler1dExplicit: run(): Step 610 - Time = 0.000801768
Euler1dExplicit: run(): Step 620 - Time = 0.000814867
Euler1dExplicit: run(): Step 630 - Time = 0.000827967
Euler1dExplicit: run(): Step 640 - Time = 0.000841066
Euler1dExplicit: run(): Step 650 - Time = 0.000854166
Euler1dExplicit: run(): Step 660 - Time = 0.000867265
Euler1dExplicit: run(): Step 670 - Time = 0.000880365
Euler1dExplicit: run(): Step 680 - Time = 0.000893464
Euler1dExplicit: run(): Step 690 - Time = 0.000906564
Euler1dExplicit: run(): Step 700 - Time = 0.000919663
Euler1dExplicit: run(): Step 710 - Time = 0.000932763
Euler1dExplicit: run(): Step 720 - Time = 0.000945862
Euler1dExplicit: run(): Step 730 - Time = 0.000958962
Euler1dExplicit: run(): Step 740 - Time = 0.000972062
Euler1dExplicit: run(): Step 750 - Time = 0.000985161
Euler1dExplicit: run(): Step 760 - Time = 0.000998261
Euler1dExplicit: run(): Step 770 - Time = 0.00101136
Euler1dExplicit: run(): Step 780 - Time = 0.00102446
Euler1dExplicit: run(): Step 790 - Time = 0.00103756
Euler1dExplicit: run(): Step 800 - Time = 0.00105066
Euler1dExplicit: run(): Step 810 - Time = 0.00106376
Euler1dExplicit: run(): Step 820 - Time = 0.00107686
Euler1dExplicit: run(): Step 830 - Time = 0.00108996
Euler1dExplicit: run(): Step 840 - Time = 0.00110306
Euler1dExplicit: run(): Step 850 - Time = 0.00111616
Euler1dExplicit: run(): Step 860 - Time = 0.00112926
Euler1dExplicit: run(): Step 870 - Time = 0.00114236
Euler1dExplicit: run(): Step 880 - Time = 0.00115546
Euler1dExplicit: run(): Step 890 - Time = 0.00116855
Euler1dExplicit: run(): Step 900 - Time = 0.00118165
Euler1dExplicit: run(): Step 910 - Time = 0.00119475
Euler1dExplicit: run(): Step 920 - Time = 0.00120785
Euler1dExplicit: run(): Step 930 - Time = 0.00122095
Euler1dExplicit: run(): Step 940 - Time = 0.00123405
Euler1dExplicit: run(): Step 950 - Time = 0.00124715
Euler1dExplicit: run(): Step 960 - Time = 0.00126025
Euler1dExplicit: run(): Step 970 - Time = 0.00127335
Euler1dExplicit: run(): Step 980 - Time = 0.00128645
Euler1dExplicit: run(): Step 990 - Time = 0.00129955
Euler1dExplicit: run(): Step 1000 - Time = 0.00131265
Euler1dExplicit: run(): Step 1010 - Time = 0.00132575
Euler1dExplicit: run(): Step 1020 - Time = 0.00133885
Euler1dExplicit: run(): Step 1030 - Time = 0.00135195
Euler1dExplicit: run(): Step 1040 - Time = 0.00136505
Euler1dExplicit: run(): Step 1050 - Time = 0.00137815
